,BRCA_DEMO_C2_S0,BRCA_DEMO_C2_S1,BRCA_DEMO_C2_S2,BRCA_DEMO_C2_S3,BRCA_DEMO_C2_S4,BRCA_DEMO_C2_S5,BRCA_DEMO_C2_S6,BRCA_DEMO_C2_S7,BRCA_DEMO_C2_S8
GENE_0,2.314890501971429,2.392123207128515,2.2400339439889345,2.153945723925297,2.3192572076649522,2.3150513844721097,2.1548884629145673,2.2899161582300227,2.337092554187318
GENE_1,2.0370296024491923,2.553797688391556,2.363872567559201,2.5589751439473654,2.214679114864443,2.558780727697252,2.038669282821577,2.3978379414882287,2.5220668735602936
GENE_2,2.437302436872572,2.552063841075741,2.2633596802793057,2.212380956427033,2.5146530108446568,2.4926222450061397,2.5611504223236796,1.983852325059177,2.5026611913182286
GENE_3,2.418659357119867,2.683370931151486,2.3115902379237405,1.8626693391437106,2.581106858561262,2.5087596924889026,1.7029402018601223,2.3394370324478873,2.0086562820024327
GENE_4,1.999524803168237,2.320436707567053,2.5535973049460163,2.2356415871067963,2.527111492382632,2.6551542638793606,2.7729034647537487,2.2579061703492718,2.200178481310987
GENE_5,1.9183947120332248,2.493758733527648,2.4450392905061795,2.509637823355483,2.418166457612192,2.618955551138693,2.2517372073151605,2.6273118258636448,2.4163827738293193
GENE_6,2.3221464179833116,2.48769419658594,2.312565455133194,2.4314897454408766,2.5749857282446995,2.0793165175793877,1.898303661633501,2.4717847745367987,2.5628624181703477
GENE_7,2.1092357480586124,2.126291473358701,2.192507791623841,2.4100744705713537,2.0924170844430723,1.913320020305528,2.1447404159926444,2.457303626320976,2.6494294397535123
GENE_8,2.3823830138030964,2.3468162866511055,2.44258846977207,1.6111905354051845,2.3258856016510494,2.5047771228630005,2.5259189303175247,2.728422050404985,2.4867829324159305
GENE_9,2.4542283312785473,2.4555610287811973,2.7187093243243172,2.5254762828455775,2.374838760646639,2.485459556718722,2.783366276758773,2.292193879446847,2.2975156351657464
GENE_10,2.4323647697672683,2.5382276849075724,2.4697006831765473,2.6808823636462193,2.237919594871744,2.339925236356267,2.2694601627563435,2.438806199850638,2.5793925748550883
GENE_11,2.0295160861978774,2.2462141414889523,2.4668165328555878,2.097972927332496,2.1039046072990155,2.4398384422621016,2.42173431364082,2.4618412982199187,2.045501696971867
