,DEMO_DATASET_C1_S0,DEMO_DATASET_C1_S1,DEMO_DATASET_C1_S2,DEMO_DATASET_C1_S3,DEMO_DATASET_C1_S4,DEMO_DATASET_C1_S5,DEMO_DATASET_C1_S6,DEMO_DATASET_C1_S7,DEMO_DATASET_C1_S8
GENE_0,0.7385492321545194,0.8096336909425546,0.5848710981581802,0.42162639818197334,0.7583362872799196,0.5570728272376522,0.3891296693972233,0.9264202678483192,0.7846503428944561
GENE_1,0.9016321341582035,0.5526762646435158,0.6354853020408355,0.5502392431949586,0.578339533235488,0.8488519794373506,0.6042563459162635,0.8890165722050687,0.8849389813545541
GENE_2,1.3062902467200257,0.45180273853329767,1.0219755944587614,0.7776280095278955,0.7964925674672508,0.43753404452334727,0.6849515468188365,0.9857993158609886,0.7793804069956738
GENE_3,0.8202635926028164,0.7273208298498647,1.0886424367465717,0.7946318582391263,0.24989608187948453,0.6269818623813774,0.3078008482299393,-0.01285960387413454,0.6674711625569221
GENE_4,1.133389962525681,0.8117799765326483,0.5068635731487552,0.5648250329493945,1.0826533075625022,0.8394066558496163,0.8119998103905143,0.7866345527904858,0.8096000653888367
GENE_5,1.0013514117359497,0.9381418243390189,0.8539261750061237,0.5392829106024974,0.9277771912274317,0.6289382305018765,1.0734614189751197,0.4822372945689682,0.7655947559311029
GENE_6,0.7981604284271823,0.4688386123389659,1.2304929109641198,1.165101691814888,0.6841040595977292,0.9929302913911309,0.894669017417553,0.1466101341636855,0.8625995040693977
GENE_7,0.7846639800416879,0.8208043383686326,0.5307812700432055,0.7326632384448988,0.7554353091544258,1.0970235543030797,0.8836067650977536,0.7986112424493341,1.1822424994777352
GENE_8,0.6611880175590883,0.7026424237811538,0.3458112471652351,1.1922764615709032,1.0410830920486072,1.029212011127927,0.9672246116117345,0.8275371469159131,0.8538722347955823
GENE_9,0.7369983524331731,0.7490998935692634,0.8135759029284236,1.1779573778909445,0.9389219754520197,0.7853849685602847,0.655151987389151,0.6412503781470852,1.2006762527931225
GENE_10,0.926671826056776,0.8168876395776637,0.7134545394618194,0.5227366470748681,0.7832846106325261,1.0184145086175502,0.7018656882906276,0.74318935424986,0.7447414121402555
GENE_11,0.8273985919995422,0.4017472803135978,0.7411504120087273,0.5864011204614822,1.0211462581406514,0.6073503308587851,0.9442616868251739,1.18110936318169,0.7216009346795936
