,DEMO_DATASET_C0_S0,DEMO_DATASET_C0_S1,DEMO_DATASET_C0_S2,DEMO_DATASET_C0_S3,DEMO_DATASET_C0_S4,DEMO_DATASET_C0_S5,DEMO_DATASET_C0_S6,DEMO_DATASET_C0_S7,DEMO_DATASET_C0_S8
GENE_0,0.00030753833937064356,0.07468638437711747,-0.0685344638405544,-0.22264795968931855,-0.11366769629293064,-0.2479116387491156,0.015035900649359621,0.3350538113886334,-0.12305162963783241
GENE_1,-0.1551187249549851,0.12246051254629955,0.08922175204001519,0.02635356224947464,-0.23261701117705116,-0.007312955615818372,0.17382579861457195,-0.3360536368212705,-0.11440394026005454
GENE_2,-0.475305684950211,-0.322384434946244,-0.4604337594479331,-0.05877278276867032,-0.3168616203609258,0.06781608970542538,0.03918777165605629,-0.046732736157488595,-0.6291899277051283
GENE_3,-0.13467322396165915,-0.012125236350267996,0.02832724650082689,-0.3825339413763484,-0.11943831900848266,-0.24462976951415988,-0.20220930985639982,0.26522465584651966,-0.20188366883297412
GENE_4,-0.00813042623638015,0.22109746684579348,-0.1459001081858255,-0.027925487396039908,0.027616035812370147,0.01594544356376549,-0.30626395660442335,0.019035057594252024,0.3397058554353844
GENE_5,-0.3867861695321206,0.21484567200539956,0.02983850642414531,-0.16036759852680535,0.5001041365856057,0.19056492802117794,-0.29982222552630583,0.018629057192865856,0.14417239591754633
GENE_6,-0.04719553133768733,0.1707275667988015,-0.016629330037353892,0.16681189020858198,0.359630647914038,-0.1689155627514132,0.05078465259740226,-0.11582689413460379,0.031817102806457706
GENE_7,-0.296798631962535,-0.1448253991256683,-0.04904899320112417,0.22469096802510194,0.286305501863533,-0.33088194812106375,-0.19866059149676238,0.16172585564335545,-0.4981049460436236
GENE_8,-0.11579246623809174,-0.024321731417522256,0.31425374432170494,0.1723509751426889,-0.08180335505554946,-0.09214397352498978,-0.06254885012948123,0.38088235011404004,-0.1070062356432168
GENE_9,-0.07592009709118235,0.08814726682131634,-0.03019261127161378,-0.04932105699143064,-0.27851678578776407,-0.0028803670096370433,-0.1108953057436048,0.29153194404755567,0.16327212567529095
GENE_10,-0.006035903252483058,0.16709525581683596,-0.08496738792828736,0.2630315896067367,-0.0013498901679066513,0.14584558854510346,-0.3227233113308718,0.08667001221960743,-0.4220510293416354
GENE_11,-0.5088322362349831,-0.0761192194278593,-0.2249819018996488,0.04101319892805564,0.5611891566215124,-0.20793079535302042,-0.15598589661097648,0.05135098651617472,0.12325332285308908
