,DEMO_DATASET_C1_S0,DEMO_DATASET_C1_S1,DEMO_DATASET_C1_S2,DEMO_DATASET_C1_S3,DEMO_DATASET_C1_S4,DEMO_DATASET_C1_S5,DEMO_DATASET_C1_S6,DEMO_DATASET_C1_S7,DEMO_DATASET_C1_S8
GENE_0,1.0489593656525664,1.243103297296496,1.0920297435572843,0.8120899296230444,1.2713520267826357,1.4816396243139076,0.9429424356454669,1.222634894711227,0.983338766733411
GENE_1,1.3146337574164113,0.8269428873802322,0.8963564461501211,1.3310530759662373,0.9080791547388152,1.440697503584943,1.4069997737146933,1.2963735775978829,1.3531477712474418
GENE_2,1.8435953120973685,0.9865556888535055,1.1923866378410577,0.9181677918073594,1.2065876998028948,1.314595864445335,1.3343948496895912,1.104481409646903,1.0186151267313177
GENE_3,1.1092975504332154,1.2221140314240007,1.303258932952549,1.2402067182081793,0.9842959165488319,1.0537362138549993,0.9458656357943809,0.8348886735061396,1.116941640571826
GENE_4,1.4673991542616507,1.5800651429319252,1.1718262435285438,1.0935746257564076,1.0041029291088681,1.2972947451278485,0.8166642228418157,0.9115104591640184,1.3757278831881714
GENE_5,1.4419227178953076,1.2390831124997326,0.8849608662726187,0.9953717519230787,1.1281409319705111,1.2418372644769802,1.7882768159730662,1.0845047448754153,1.0269351523591281
GENE_6,0.9649699081529473,1.0232004500158285,1.3798878167793425,1.1522470140019498,1.1653230769373015,1.0662824414333931,1.4697559630546368,1.085835188239474,1.448250005093983
GENE_7,1.0975218958991384,1.3133062818479342,1.0389767339777314,1.088569206941953,1.1098885231487998,1.0885687225447098,0.9530306433698525,1.3581685793998761,1.3528741689549637
GENE_8,1.1738789790050688,1.351663289581401,0.6262791245794027,1.239312216022273,1.3556085147173178,1.3930249628970781,1.2081974157256479,1.4196044199975264,1.2690151051637186
GENE_9,0.9258227484510146,0.9883971915865027,1.3678821635631364,1.4817449802366842,0.8896487399246897,1.4622349450526242,1.247181399913353,1.3892937866128423,1.3235979501815445
GENE_10,1.204194668761923,0.9831524028385681,1.6641131837572873,1.0262774784560043,1.5091489437326522,1.1797487640313191,1.1837010826119339,0.837324179810914,1.095797276316774
GENE_11,1.4104502776797767,0.7505248770418996,1.385020714991286,1.1606481234004338,1.1017829440734745,1.003355711144258,1.1803177080715042,1.3806508140023446,1.0535716741511785
