,DEMO_DATASET_C0_S0,DEMO_DATASET_C0_S1,DEMO_DATASET_C0_S2,DEMO_DATASET_C0_S3,DEMO_DATASET_C0_S4,DEMO_DATASET_C0_S5,DEMO_DATASET_C0_S6,DEMO_DATASET_C0_S7,DEMO_DATASET_C0_S8
GENE_0,-0.03512744401146632,-0.00384287386208456,0.10622535910383166,-0.007342452437879593,-0.2635690145612031,-0.13979208309772617,0.014575320056974638,-0.043370018715505415,-0.009557994684043537
GENE_1,-0.24915065791280133,0.2556435978565583,0.08316005854102207,0.031038078278547376,-0.23451417615978037,-0.027378442583447994,-0.31263635927412503,-0.394308312515247,0.015365989707723599
GENE_2,-0.6633662508395345,0.008129486823110682,-0.5794361747987483,0.12196130914851835,-0.32753021675632776,0.18970626172120497,0.04578412734498811,-0.3307333561370421,-0.06476521394087317
GENE_3,0.22100481912369274,-0.01922359937517542,-0.040619631184050625,-0.22324036388230145,-0.2547496240599906,0.0974024671943036,-0.20968304127423726,0.12237424538492452,-0.2596011150570958
GENE_4,-0.12927983306222954,-0.1449962969073374,0.17846380864996578,-0.04478025833922259,0.20699234165194685,0.010637641164534696,-0.2920126838427905,-0.05581952320332442,0.057806717617112285
GENE_5,-0.19180126492907756,0.03236946806730864,-0.04506508997628701,-0.3558987360905854,0.08868288276857875,0.42609397377067504,-0.28415775601349635,-0.20150422892826567,0.13955146447377934
GENE_6,0.2578566742424628,-0.20544107709684084,-0.05001903466893108,-0.04300456568269058,-0.1723885709084616,0.0625275604759717,0.020703542587732198,-0.043625078208780824,-0.134553743085889
GENE_7,-0.057442483381884166,-0.18027216946029834,-0.05310513829991423,-0.10930667442375165,-0.10006780110987257,0.10166539699947263,-0.20075123665607625,0.13919899909283812,-0.2558105599752863
GENE_8,-0.1461252736714827,-0.11375305977620503,0.2831433904499697,0.025801966664562484,-0.07119040716203313,-0.041627675323598984,0.2040272389856597,0.32654336998364764,0.02301693572399017
GENE_9,-0.15067432721623952,-0.2323201105906349,0.17480968071125352,0.16862889834845993,-0.1674000727185501,0.10693658481588508,0.10084095790527861,0.31200286255677423,0.26591275748693965
GENE_10,-0.09414148175846809,0.3865422244413615,-0.29180230562128534,0.3038604102020982,0.09811147072219838,0.24764661697745222,0.21444000575391156,0.34022410078553356,-0.4400608961086827
GENE_11,-0.592150434171063,0.12531820209682967,-0.315493434125009,0.01802552173452516,0.448540073711795,-0.43272486791362746,-0.499989039167384,0.07753529732553277,0.07050383934920396
